Occupation,onetsoc_code,occ_type,em_2018,em_2028,p_2018,p_2028,change,percent_change,openings
"Communications teachers, postsecondary",25-1122,Line item,35.80,37.70,0.00,0.00,1.90,5.20,3.20
"English language and literature teachers, postsecondary",25-1123,Line item,83.00,86.40,0.10,0.10,3.40,4.10,7.30
"Foreign language and literature teachers, postsecondary",25-1124,Line item,31.90,34.40,0.00,0.00,2.50,7.90,3.00
"History teachers, postsecondary",25-1125,Line item,25.80,27.40,0.00,0.00,1.60,6.30,2.40
"Philosophy and religion teachers, postsecondary",25-1126,Line item,31.70,34.80,0.00,0.00,3.10,9.70,3.10
Miscellaneous postsecondary teachers,25-1190,Summary,538.00,553.40,0.30,0.30,15.40,2.90,46.70
Graduate teaching assistants,25-1191,Line item,164.30,173.40,0.10,0.10,9.10,5.50,14.90
"Home economics teachers, postsecondary",25-1192,Line item,2.50,2.60,0.00,0.00,0.10,3.80,0.20
"Recreation and fitness studies teachers, postsecondary",25-1193,Line item,20.00,20.90,0.00,0.00,0.90,4.50,1.80
"Vocational education teachers, postsecondary",25-1194,Line item,125.60,121.80,0.10,0.10,-3.80,-3.00,9.80
"Postsecondary teachers, all other",25-1199,Line item,225.60,234.60,0.10,0.10,9.10,4.00,19.90
"Preschool, primary, secondary, and special education school teachers",25-2000,Summary,4344.30,4512.20,2.70,2.70,168.00,3.90,357.80
Preschool and kindergarten teachers,25-2010,Summary,658.10,700.20,0.40,0.40,42.10,6.40,72.40
"Preschool teachers, except special education",25-2011,Line item,523.60,560.50,0.30,0.30,36.90,7.10,58.10
"Kindergarten teachers, except special education",25-2012,Line item,134.50,139.70,0.10,0.10,5.10,3.80,14.30
Elementary and middle school teachers,25-2020,Summary,2061.90,2131.60,1.30,1.30,69.70,3.40,161.60
"Elementary school teachers, except special education",25-2021,Line item,1434.40,1482.40,0.90,0.90,47.90,3.30,112.40
"Middle school teachers, except special and career/technical education",25-2022,Line item,615.70,637.10,0.40,0.40,21.40,3.50,48.30
"Career/technical education teachers, middle school",25-2023,Line item,11.80,12.10,0.00,0.00,0.30,2.70,0.90
Secondary school teachers,25-2030,Summary,1149.10,1188.90,0.70,0.70,39.80,3.50,85.90
"Secondary school teachers, except special and career/technical education",25-2031,Line item,1072.50,1110.60,0.70,0.70,38.20,3.60,80.30
"Career/technical education teachers, secondary school",25-2032,Line item,76.60,78.30,0.00,0.00,1.70,2.20,5.60
Special education teachers,25-2050,Summary,475.20,491.60,0.30,0.30,16.40,3.50,38.00
"Special education teachers, preschool",25-2051,Line item,24.00,25.90,0.00,0.00,1.90,7.70,2.10
"Special education teachers, kindergarten and elementary school",25-2052,Line item,184.30,189.40,0.10,0.10,5.10,2.80,14.50
"Special education teachers, middle school",25-2053,Line item,86.80,89.20,0.10,0.10,2.30,2.70,6.80
"Special education teachers, secondary school",25-2054,Line item,142.00,146.30,0.10,0.10,4.30,3.00,11.30
"Special education teachers, all other",25-2059,Line item,38.00,40.90,0.00,0.00,2.90,7.50,3.20
Other teachers and instructors,25-3000,Summary,1448.20,1539.10,0.90,0.90,90.90,6.30,179.40
Adult basic and secondary education and literacy teachers and instructors,25-3011,Line item,67.20,60.20,0.00,0.00,-7.00,-10.30,6.60
Self-enrichment education teachers,25-3021,Line item,369.50,413.10,0.20,0.20,43.60,11.80,49.00
Miscellaneous Teachers and Instructors,25-3090,Summary,1011.50,1065.80,0.60,0.60,54.20,5.40,123.80
"Teachers and Instructors, All Other, Except Substitute Teachers",25-3097,Line item,395.80,429.60,0.20,0.30,33.80,8.50,50.40
Substitute Teachers,25-3098,Line item,615.70,636.20,0.40,0.40,20.40,3.30,73.40
"Librarians, curators, and archivists",25-4000,Summary,265.40,274.40,0.20,0.20,9.00,3.40,33.10
"Archivists, curators, and museum technicians",25-4010,Summary,35.90,39.20,0.00,0.00,3.30,9.20,4.40
Archivists,25-4011,Line item,7.80,8.50,0.00,0.00,0.70,9.40,1.00
Curators,25-4012,Line item,13.70,15.00,0.00,0.00,1.30,9.50,1.70
Museum technicians and conservators,25-4013,Line item,14.40,15.70,0.00,0.00,1.30,8.70,1.80
Librarians,25-4021,Line item,134.80,143.40,0.10,0.10,8.50,6.30,14.70
Library technicians,25-4031,Line item,94.70,91.90,0.10,0.10,-2.80,-3.00,14.00
"Other education, training, and library occupations",25-9000,Summary,1700.80,1775.40,1.10,1.00,74.60,4.40,186.50
Audio-visual and multimedia collections specialists,25-9011,Line item,10.50,10.90,0.00,0.00,0.50,4.70,1.00
Farm and home management advisors,25-9021,Line item,9.60,10.10,0.00,0.00,0.40,4.50,1.00
Instructional coordinators,25-9031,Line item,181.60,193.00,0.10,0.10,11.50,6.30,18.60
Teacher assistants,25-9041,Line item,1380.30,1435.70,0.90,0.80,55.40,4.00,153.90
"Education, training, and library workers, all other",25-9099,Line item,118.80,125.60,0.10,0.10,6.80,5.70,12.00
"Arts, design, entertainment, sports, and media occupations",27-0000,Summary,2899.80,2996.60,1.80,1.80,96.80,3.30,335.00
Art and design workers,27-1000,Summary,906.90,921.80,0.60,0.50,14.90,1.60,94.70
Artists and related workers,27-1010,Summary,222.90,227.30,0.10,0.10,4.40,2.00,24.90
Art directors,27-1011,Line item,101.00,101.80,0.10,0.10,0.90,0.90,11.10
Craft artists,27-1012,Line item,9.80,9.80,0.00,0.00,0.00,-0.30,1.10
"Fine artists, including painters, sculptors, and illustrators",27-1013,Line item,28.60,28.80,0.00,0.00,0.20,0.80,3.10
Multimedia artists and animators,27-1014,Line item,71.60,74.70,0.00,0.00,3.00,4.20,8.30
"Artists and related workers, all other",27-1019,Line item,11.90,12.20,0.00,0.00,0.30,2.20,1.30
Designers,27-1020,Summary,684.00,694.60,0.40,0.40,10.60,1.50,69.80
Commercial and industrial designers,27-1021,Line item,43.90,45.30,0.00,0.00,1.50,3.30,4.60
Fashion designers,27-1022,Line item,25.80,26.20,0.00,0.00,0.40,1.40,2.60
Floral designers,27-1023,Line item,55.50,47.90,0.00,0.00,-7.60,-13.80,4.40
Graphic designers,27-1024,Line item,290.10,299.00,0.20,0.20,8.80,3.00,30.30
Interior designers,27-1025,Line item,75.40,78.60,0.00,0.00,3.30,4.30,8.00
Merchandise displayers and window trimmers,27-1026,Line item,168.40,171.60,0.10,0.10,3.10,1.90,17.30
Set and exhibit designers,27-1027,Line item,13.70,14.40,0.00,0.00,0.60,4.70,1.50
"Designers, all other",27-1029,Line item,11.10,11.70,0.00,0.00,0.50,4.70,1.20
"Entertainers and performers, sports and related workers",27-2000,Summary,854.50,897.10,0.50,0.50,42.60,5.00,115.40
"Actors, producers, and directors",27-2010,Summary,216.90,224.80,0.10,0.10,7.90,3.60,23.70
Actors,27-2011,Line item,64.50,65.10,0.00,0.00,0.60,0.90,7.70
Producers and directors,27-2012,Line item,152.40,159.60,0.10,0.10,7.20,4.80,16.00
"Athletes, coaches, umpires, and related workers",27-2020,Summary,325.70,358.30,0.20,0.20,32.70,10.00,53.20
Athletes and sports competitors,27-2021,Line item,13.50,14.30,0.00,0.00,0.80,6.20,2.10
Coaches and scouts,27-2022,Line item,290.10,320.60,0.20,0.20,30.50,10.50,47.60
"Umpires, referees, and other sports officials",27-2023,Line item,22.00,23.40,0.00,0.00,1.30,6.00,3.40
Dancers and choreographers,27-2030,Summary,21.20,21.10,0.00,0.00,-0.10,-0.60,3.60
Dancers,27-2031,Line item,13.90,14.00,0.00,0.00,0.10,0.60,2.40
Choreographers,27-2032,Line item,7.20,7.00,0.00,0.00,-0.20,-2.80,1.20
"Musicians, singers, and related workers",27-2040,Summary,252.30,253.40,0.20,0.10,1.10,0.40,30.30
Music directors and composers,27-2041,Line item,64.70,65.50,0.00,0.00,0.80,1.20,7.80
Musicians and singers,27-2042,Line item,187.60,187.90,0.10,0.10,0.30,0.20,22.40
"Entertainers and performers, sports and related workers, all other",27-2099,Line item,38.50,39.50,0.00,0.00,1.10,2.80,4.60
Media and communication workers,27-3000,Summary,770.60,798.20,0.50,0.50,27.60,3.60,85.50
Announcers,27-3010,Summary,48.70,46.20,0.00,0.00,-2.50,-5.20,5.20
Radio and television announcers,27-3011,Line item,38.30,35.60,0.00,0.00,-2.80,-7.30,4.00
Public address system and other announcers,27-3012,Line item,10.40,10.60,0.00,0.00,0.30,2.50,1.20
"News analysts, reporters and correspondents",27-3020,Summary,49.70,44.60,0.00,0.00,-5.10,-10.30,5.30
Broadcast news analysts,27-3021,Line item,6.90,7.00,0.00,0.00,0.10,0.90,0.90
Reporters and correspondents,27-3022,Line item,42.80,37.60,0.00,0.00,-5.20,-12.10,4.40
Public relations specialists,27-3031,Line item,270.00,287.30,0.20,0.20,17.30,6.40,30.70
Writers and editors,27-3040,Summary,297.20,298.40,0.20,0.20,1.20,0.40,31.30
Editors,27-3041,Line item,118.30,114.90,0.10,0.10,-3.40,-2.90,12.40
Technical writers,27-3042,Line item,55.70,60.40,0.00,0.00,4.70,8.50,6.10
Writers and authors,27-3043,Line item,123.20,123.00,0.10,0.10,-0.10,-0.10,12.80
Miscellaneous media and communication workers,27-3090,Summary,105.00,121.80,0.10,0.10,16.70,15.90,13.10
Interpreters and translators,27-3091,Line item,76.10,90.70,0.00,0.10,14.60,19.20,9.80
"Media and communication workers, all other",27-3099,Line item,29.00,31.10,0.00,0.00,2.10,7.30,3.20
Media and communication equipment workers,27-4000,Summary,367.70,379.50,0.20,0.20,11.70,3.20,39.40
Broadcast and sound engineering technicians and radio operators,27-4010,Summary,145.20,156.70,0.10,0.10,11.50,7.90,17.30
Audio and video equipment technicians,27-4011,Line item,93.20,104.00,0.10,0.10,10.80,11.60,11.60
Broadcast technicians,27-4012,Line item,35.30,35.70,0.00,0.00,0.40,1.10,3.80
Radio operators,27-4013,Line item,0.90,0.90,0.00,0.00,0.00,1.50,0.10
Sound engineering technicians,27-4014,Line item,15.90,16.10,0.00,0.00,0.20,1.60,1.70
Photographers,27-4021,Line item,132.10,123.80,0.10,0.10,-8.30,-6.30,11.80
"Television, video, and motion picture camera operators and editors",27-4030,Summary,69.20,77.10,0.00,0.00,7.90,11.40,7.90
"Camera operators, television, video, and motion picture",27-4031,Line item,29.40,31.80,0.00,0.00,2.40,8.10,3.20
Film and video editors,27-4032,Line item,39.80,45.30,0.00,0.00,5.50,13.90,4.70
"Media and communication equipment workers, all other",27-4099,Line item,21.20,21.90,0.00,0.00,0.60,2.90,2.40
Healthcare practitioners and technical occupations,29-0000,Summary,9107.80,10190.40,5.70,6.00,1082.60,11.90,650.30
Health diagnosing and treating practitioners,29-1000,Summary,5724.80,6459.80,3.60,3.80,735.00,12.80,367.00
Chiropractors,29-1011,Line item,50.30,54.10,0.00,0.00,3.70,7.40,1.80
Dentists,29-1020,Summary,155.00,166.60,0.10,0.10,11.60,7.50,6.00
"Dentists, general",29-1021,Line item,136.90,147.40,0.10,0.10,10.40,7.60,5.30
Oral and maxillofacial surgeons,29-1022,Line item,5.90,6.30,0.00,0.00,0.40,7.40,0.20
Orthodontists,29-1023,Line item,6.50,7.00,0.00,0.00,0.50,7.30,0.30
Prosthodontists,29-1024,Line item,0.50,0.50,0.00,0.00,0.00,7.30,0.00
"Dentists, all other specialists",29-1029,Line item,5.20,5.40,0.00,0.00,0.20,4.70,0.20
Dietitians and nutritionists,29-1031,Line item,70.90,78.90,0.00,0.00,8.00,11.20,5.50
Optometrists,29-1041,Line item,42.10,46.10,0.00,0.00,4.00,9.50,1.70
Pharmacists,29-1051,Line item,314.30,314.10,0.20,0.20,-0.10,0.00,14.10
Physicians and surgeons,29-1060,Summary,756.80,812.20,0.50,0.50,55.40,7.30,28.50
Anesthesiologists,29-1061,Line item,34.50,36.00,0.00,0.00,1.50,4.50,1.20
Family and general practitioners,29-1062,Line item,126.60,139.00,0.10,0.10,12.40,9.80,5.10
"Internists, general",29-1063,Line item,42.80,44.40,0.00,0.00,1.60,3.70,1.40
Obstetricians and gynecologists,29-1064,Line item,20.70,21.10,0.00,0.00,0.50,2.30,0.70
"Pediatricians, general",29-1065,Line item,31.70,32.40,0.00,0.00,0.70,2.20,1.00
Psychiatrists,29-1066,Line item,28.60,33.20,0.00,0.00,4.50,15.80,1.40
Surgeons,29-1067,Line item,38.20,38.70,0.00,0.00,0.50,1.20,1.20
"Physicians and surgeons, all other",29-1069,Line item,433.70,467.40,0.30,0.30,33.70,7.80,16.50
Physician assistants,29-1071,Line item,118.80,155.70,0.10,0.10,37.00,31.10,11.50
Podiatrists,29-1081,Line item,10.50,11.20,0.00,0.00,0.60,6.00,0.70
Therapists,29-1120,Summary,750.70,908.00,0.50,0.50,157.30,21.00,57.00
Occupational therapists,29-1122,Line item,133.00,156.80,0.10,0.10,23.70,17.90,10.50
Physical therapists,29-1123,Line item,247.70,301.90,0.20,0.20,54.20,21.90,16.90
Radiation therapists,29-1124,Line item,18.60,20.20,0.00,0.00,1.60,8.50,1.10
Recreational therapists,29-1125,Line item,19.80,21.20,0.00,0.00,1.40,7.30,1.10
Respiratory therapists,29-1126,Line item,134.00,162.00,0.10,0.10,27.90,20.80,10.60
Speech-language pathologists,29-1127,Line item,153.70,195.60,0.10,0.10,41.90,27.30,13.50
Exercise physiologists,29-1128,Line item,15.80,17.30,0.00,0.00,1.50,9.70,1.10
"Therapists, all other",29-1129,Line item,28.10,33.10,0.00,0.00,5.00,17.80,2.20
Veterinarians,29-1131,Line item,84.50,100.10,0.10,0.10,15.60,18.40,5.10
Registered nurses,29-1141,Line item,3059.80,3431.30,1.90,2.00,371.50,12.10,210.40
Nurse anesthetists,29-1151,Line item,45.00,52.70,0.00,0.00,7.60,17.00,3.20
Nurse midwives,29-1161,Line item,6.50,7.60,0.00,0.00,1.00,15.70,0.50
Nurse practitioners,29-1171,Line item,189.10,242.40,0.10,0.10,53.30,28.20,16.90
Audiologists,29-1181,Line item,13.60,15.80,0.00,0.00,2.20,16.30,0.80
"Health diagnosing and treating practitioners, all other",29-1199,Line item,56.80,63.00,0.00,0.00,6.20,10.90,3.40
Health technologists and technicians,29-2000,Summary,3194.50,3524.10,2.00,2.10,329.60,10.30,270.40
Clinical laboratory technologists and technicians,29-2010,Line item,331.70,366.80,0.20,0.20,35.10,10.60,25.50
Dental hygienists,29-2021,Line item,219.80,243.50,0.10,0.10,23.70,10.80,17.90
Diagnostic related technologists and technicians,29-2030,Summary,400.00,442.60,0.20,0.30,42.70,10.70,27.40
Cardiovascular technologists and technicians,29-2031,Line item,57.80,61.70,0.00,0.00,3.80,6.60,3.70
Diagnostic medical sonographers,29-2032,Line item,72.90,87.10,0.00,0.10,14.20,19.50,5.80
Nuclear medicine technologists,29-2033,Line item,19.30,20.60,0.00,0.00,1.30,6.90,1.20
Radiologic technologists,29-2034,Line item,210.50,229.50,0.10,0.10,19.00,9.00,14.00
Magnetic resonance imaging technologists,29-2035,Line item,39.40,43.70,0.00,0.00,4.30,10.90,2.70
Emergency medical technicians and paramedics,29-2041,Line item,262.10,280.80,0.20,0.20,18.70,7.10,19.90
Health practitioner support technologists and technicians,29-2050,Summary,816.40,893.70,0.50,0.50,77.40,9.50,76.70
Dietetic technicians,29-2051,Line item,34.80,36.90,0.00,0.00,2.00,5.80,3.10
Pharmacy technicians,29-2052,Line item,420.40,451.90,0.30,0.30,31.50,7.50,38.30
Psychiatric technicians,29-2053,Line item,76.60,86.10,0.00,0.10,9.50,12.40,7.50
Respiratory therapy technicians,29-2054,Line item,9.30,3.90,0.00,0.00,-5.30,-57.50,0.00
Surgical technologists,29-2055,Line item,112.10,121.80,0.10,0.10,9.70,8.70,10.40
Veterinary technologists and technicians,29-2056,Line item,109.40,130.50,0.10,0.10,21.10,19.30,11.80
Ophthalmic medical technicians,29-2057,Line item,53.80,62.70,0.00,0.00,8.90,16.50,5.60
Licensed practical and licensed vocational nurses,29-2061,Line item,728.90,807.00,0.50,0.50,78.10,10.70,66.30
Medical records and health information technicians,29-2071,Line item,215.50,238.60,0.10,0.10,23.10,10.70,16.80
"Opticians, dispensing",29-2081,Line item,74.50,79.90,0.00,0.00,5.40,7.30,6.60
Miscellaneous health technologists and technicians,29-2090,Summary,145.70,171.20,0.10,0.10,25.50,17.50,13.30
Orthotists and prosthetists,29-2091,Line item,9.10,10.90,0.00,0.00,1.80,19.80,0.90
Hearing aid specialists,29-2092,Line item,7.70,9.00,0.00,0.00,1.20,15.90,0.70
"Health technologists and technicians, all other",29-2099,Line item,128.90,151.30,0.10,0.10,22.40,17.40,11.70
Other healthcare practitioners and technical occupations,29-9000,Summary,188.60,206.50,0.10,0.10,18.00,9.50,12.90
Occupational health and safety specialists and technicians,29-9010,Summary,117.90,125.40,0.10,0.10,7.50,6.40,7.60
Occupational health and safety specialists,29-9011,Line item,98.00,104.00,0.10,0.10,6.00,6.20,6.30
Occupational health and safety technicians,29-9012,Line item,19.90,21.40,0.00,0.00,1.50,7.50,1.30
Miscellaneous health practitioners and technical workers,29-9090,Summary,70.70,81.10,0.00,0.00,10.40,14.80,5.30
Athletic trainers,29-9091,Line item,31.10,37.00,0.00,0.00,5.90,18.80,2.50
Genetic counselors,29-9092,Line item,3.00,3.80,0.00,0.00,0.80,27.00,0.30
"Healthcare practitioners and technical workers, all other",29-9099,Line item,36.60,40.30,0.00,0.00,3.80,10.30,2.50
Healthcare support occupations,31-0000,Summary,4315.60,5100.80,2.70,3.00,785.20,18.20,613.60
"Nursing, psychiatric, and home health aides",31-1000,Summary,2457.70,2907.10,1.50,1.70,449.40,18.30,345.60
Home health aides,31-1011,Line item,831.80,1136.60,0.50,0.70,304.80,36.60,140.80
Psychiatric aides,31-1013,Line item,61.60,68.50,0.00,0.00,6.90,11.10,8.00
Nursing assistants,31-1014,Line item,1513.20,1648.60,0.90,1.00,135.40,8.90,190.70
Orderlies,31-1015,Line item,51.00,53.40,0.00,0.00,2.40,4.60,6.10
Occupational therapy and physical therapist assistants and aides,31-2000,Summary,199.90,253.90,0.10,0.10,54.00,27.00,32.60
Occupational therapy assistants and aides,31-2010,Summary,51.70,67.70,0.00,0.00,16.00,30.90,8.10
Occupational therapy assistants,31-2011,Line item,43.80,58.30,0.00,0.00,14.50,33.10,7.00
Occupational therapy aides,31-2012,Line item,7.90,9.40,0.00,0.00,1.50,18.90,1.10
Physical therapist assistants and aides,31-2020,Summary,148.20,186.20,0.10,0.10,38.00,25.60,24.50
Physical therapist assistants,31-2021,Line item,98.40,125.00,0.10,0.10,26.70,27.10,16.50
Physical therapist aides,31-2022,Line item,49.80,61.20,0.00,0.00,11.30,22.80,8.00
Other healthcare support occupations,31-9000,Summary,1658.00,1939.80,1.00,1.10,281.80,17.00,235.50
Massage therapists,31-9011,Line item,159.80,195.20,0.10,0.10,35.40,22.20,24.20
Miscellaneous healthcare support occupations,31-9090,Summary,1498.20,1744.60,0.90,1.00,246.30,16.40,211.30
Dental assistants,31-9091,Line item,346.00,384.70,0.20,0.20,38.70,11.20,44.80
Medical assistants,31-9092,Line item,686.60,841.50,0.40,0.50,154.90,22.60,99.70
Medical equipment preparers,31-9093,Line item,57.60,62.20,0.00,0.00,4.60,8.00,7.30
Medical transcriptionists,31-9094,Line item,58.00,56.00,0.00,0.00,-2.00,-3.50,7.70
Pharmacy aides,31-9095,Line item,37.00,32.60,0.00,0.00,-4.50,-12.10,4.00
Veterinary assistants and laboratory animal caretakers,31-9096,Line item,92.20,109.80,0.10,0.10,17.60,19.10,18.10
Phlebotomists,31-9097,Line item,128.30,157.80,0.10,0.10,29.50,23.00,18.10
"Healthcare support workers, all other",31-9099,Line item,92.60,100.20,0.10,0.10,7.60,8.20,11.70
Protective service occupations,33-0000,Summary,3560.90,3656.00,2.20,2.20,95.20,2.70,400.40
Supervisors of protective service workers,33-1000,Summary,318.70,326.30,0.20,0.20,7.70,2.40,24.00
First-line supervisors of law enforcement workers,33-1010,Summary,167.60,170.00,0.10,0.10,2.40,1.40,11.00
First-line supervisors of correctional officers,33-1011,Line item,45.90,42.50,0.00,0.00,-3.40,-7.50,2.80
First-line supervisors of police and detectives,33-1012,Line item,121.60,127.40,0.10,0.10,5.80,4.80,8.30
First-line supervisors of fire fighting and prevention workers,33-1021,Line item,68.00,71.70,0.00,0.00,3.60,5.30,4.80
"First-line supervisors of protective service workers, all other",33-1099,Line item,83.10,84.70,0.10,0.00,1.60,2.00,8.10
Fire fighting and prevention workers,33-2000,Summary,347.60,366.40,0.20,0.20,18.90,5.40,26.60
Firefighters,33-2011,Line item,332.40,350.00,0.20,0.20,17.60,5.30,25.00
Fire inspectors,33-2020,Summary,15.20,16.40,0.00,0.00,1.30,8.20,1.60
Fire inspectors and investigators,33-2021,Line item,13.00,13.70,0.00,0.00,0.70,5.50,1.30
Forest fire inspectors and prevention specialists,33-2022,Line item,2.20,2.80,0.00,0.00,0.50,24.10,0.30
Law enforcement workers,33-3000,Summary,1271.20,1274.10,0.80,0.80,2.90,0.20,96.80
"Bailiffs, correctional officers, and jailers",33-3010,Summary,453.90,422.40,0.30,0.20,-31.50,-6.90,35.50
Bailiffs,33-3011,Line item,19.60,19.40,0.00,0.00,-0.20,-0.80,1.70
Correctional officers and jailers,33-3012,Line item,434.30,402.90,0.30,0.20,-31.40,-7.20,33.80
Detectives and criminal investigators,33-3021,Line item,110.70,113.50,0.10,0.10,2.80,2.50,7.50
Fish and game wardens,33-3031,Line item,6.40,6.50,0.00,0.00,0.10,1.70,0.50
Parking enforcement workers,33-3041,Line item,8.60,5.40,0.00,0.00,-3.10,-36.70,0.20
Police officers,33-3050,Summary,691.60,726.30,0.40,0.40,34.60,5.00,53.20
Police and sheriff's patrol officers,33-3051,Line item,687.10,721.60,0.40,0.40,34.50,5.00,52.90
Transit and railroad police,33-3052,Line item,4.50,4.70,0.00,0.00,0.20,3.60,0.30
Other protective service workers,33-9000,Summary,1623.40,1689.20,1.00,1.00,65.80,4.10,253.10
Animal control workers,33-9011,Line item,12.50,13.20,0.00,0.00,0.70,5.80,1.30
Private detectives and investigators,33-9021,Line item,33.00,35.60,0.00,0.00,2.60,7.90,3.30
Security guards and gaming surveillance officers,33-9030,Summary,1154.30,1194.90,0.70,0.70,40.60,3.50,155.20
Gaming surveillance officers and gaming investigators,33-9031,Line item,10.50,10.90,0.00,0.00,0.40,3.80,1.40
Security guards,33-9032,Line item,1143.80,1184.00,0.70,0.70,40.20,3.50,153.80
Miscellaneous protective service workers,33-9090,Summary,423.60,445.50,0.30,0.30,21.90,5.20,93.30
Crossing guards,33-9091,Line item,81.70,86.30,0.10,0.10,4.60,5.60,14.20
"Lifeguards, ski patrol, and other recreational protective service workers",33-9092,Line item,151.80,162.40,0.10,0.10,10.70,7.00,39.00
Transportation security screeners,33-9093,Line item,49.10,49.60,0.00,0.00,0.50,1.10,4.70
"Protective service workers, all other",33-9099,Line item,141.00,147.10,0.10,0.10,6.10,4.30,35.40
Food preparation and serving related occupations,35-0000,Summary,13664.00,15152.20,8.50,8.90,1488.30,10.90,2638.00
Supervisors of food preparation and serving workers,35-1000,Summary,1127.80,1250.40,0.70,0.70,122.60,10.90,190.60
Chefs and head cooks,35-1011,Line item,139.00,154.30,0.10,0.10,15.40,11.10,20.70
First-line supervisors of food preparation and serving workers,35-1012,Line item,988.90,1096.10,0.60,0.60,107.20,10.80,169.90
Cooks and food preparation workers,35-2000,Summary,3334.20,3685.30,2.10,2.20,351.10,10.50,559.20
Cooks,35-2010,Summary,2492.10,2774.10,1.50,1.60,282.00,11.30,400.70
"Cooks, fast food",35-2011,Line item,491.30,453.20,0.30,0.30,-38.10,-7.70,63.00
"Cooks, institution and cafeteria",35-2012,Line item,418.50,437.80,0.30,0.30,19.20,4.60,62.50
"Cooks, private household",35-2013,Line item,38.30,39.80,0.00,0.00,1.50,4.00,5.70
"Cooks, restaurant",35-2014,Line item,1362.30,1661.30,0.80,1.00,299.00,21.90,243.80
"Cooks, short order",35-2015,Line item,158.30,157.30,0.10,0.10,-1.10,-0.70,22.20
"Cooks, all other",35-2019,Line item,23.30,24.70,0.00,0.00,1.40,5.90,3.50
Food preparation workers,35-2021,Line item,842.10,911.20,0.50,0.50,69.10,8.20,158.50
Food and beverage serving workers,35-3000,Summary,7736.90,8636.30,4.80,5.10,899.30,11.60,1596.80
Bartenders,35-3011,Line item,644.10,696.30,0.40,0.40,52.20,8.10,123.10
Fast food and counter workers,35-3020,Summary,4184.40,4840.60,2.60,2.90,656.10,15.70,888.20
"Combined food preparation and serving workers, including fast food",35-3021,Line item,3704.20,4344.30,2.30,2.60,640.10,17.30,780.60
"Counter attendants, cafeteria, food concession, and coffee shop",35-3022,Line item,480.20,496.30,0.30,0.30,16.00,3.30,107.60
Waiters and waitresses,35-3031,Line item,2634.60,2804.80,1.60,1.70,170.20,6.50,539.00
"Food servers, nonrestaurant",35-3041,Line item,273.80,294.60,0.20,0.20,20.90,7.60,46.50
Other food preparation and serving related workers,35-9000,Summary,1465.00,1580.20,0.90,0.90,115.20,7.90,291.40
Dining room and cafeteria attendants and bartender helpers,35-9011,Line item,465.90,511.10,0.30,0.30,45.20,9.70,88.00
Dishwashers,35-9021,Line item,516.60,533.50,0.30,0.30,16.90,3.30,85.00
"Hosts and hostesses, restaurant, lounge, and coffee shop",35-9031,Line item,425.60,472.70,0.30,0.30,47.20,11.10,107.60
"Food preparation and serving related workers, all other",35-9099,Line item,57.00,63.00,0.00,0.00,5.90,10.40,10.80
Building and grounds cleaning and maintenance occupations,37-0000,Summary,5756.90,6047.70,3.60,3.60,290.80,5.10,798.90
Supervisors of building and grounds cleaning and maintenance workers,37-1000,Summary,444.50,478.40,0.30,0.30,34.00,7.60,54.80
First-line supervisors of housekeeping and janitorial workers,37-1011,Line item,245.30,262.00,0.20,0.20,16.70,6.80,30.40
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",37-1012,Line item,199.10,216.40,0.10,0.10,17.30,8.70,24.30
Building cleaning and pest control workers,37-2000,Summary,3998.10,4139.70,2.50,2.40,141.60,3.50,554.90
Building cleaning workers,37-2010,Summary,3913.60,4049.30,2.40,2.40,135.70,3.50,542.30
"Janitors and cleaners, except maids and housekeeping cleaners",37-2011,Line item,2404.40,2564.20,1.50,1.50,159.80,6.60,343.10
Maids and housekeeping cleaners,37-2012,Line item,1494.40,1469.00,0.90,0.90,-25.40,-1.70,197.00
"Building cleaning workers, all other",37-2019,Line item,14.80,16.10,0.00,0.00,1.30,9.00,2.20
Pest control workers,37-2021,Line item,84.50,90.40,0.10,0.10,5.80,6.90,12.60
Grounds maintenance workers,37-3000,Summary,1314.20,1429.50,0.80,0.80,115.30,8.80,189.20
Landscaping and groundskeeping workers,37-3011,Line item,1205.20,1311.60,0.70,0.80,106.40,8.80,173.60
"Pesticide handlers, sprayers, and applicators, vegetation",37-3012,Line item,35.70,38.20,0.00,0.00,2.40,6.80,5.00
Tree trimmers and pruners,37-3013,Line item,55.60,61.10,0.00,0.00,5.50,9.80,8.10
"Grounds maintenance workers, all other",37-3019,Line item,17.70,18.60,0.00,0.00,1.00,5.50,2.40
Personal care and service occupations,39-0000,Summary,7117.20,8354.80,4.40,4.90,1237.60,17.40,1266.60
Supervisors of personal care and service workers,39-1000,Summary,351.90,390.90,0.20,0.20,39.00,11.10,43.20
First-line supervisors of gaming workers,39-1010,Line item,49.70,54.20,0.00,0.00,4.40,8.90,8.80
First-line supervisors of personal service workers,39-1021,Line item,302.20,336.70,0.20,0.20,34.50,11.40,34.40
Animal care and service workers,39-2000,Summary,330.90,382.60,0.20,0.20,51.70,15.60,62.20
Animal trainers,39-2011,Line item,45.30,51.20,0.00,0.00,5.90,13.10,7.60
Nonfarm animal caretakers,39-2021,Line item,285.60,331.40,0.20,0.20,45.70,16.00,54.50
Entertainment attendants and related workers,39-3000,Summary,628.40,663.80,0.40,0.40,35.30,5.60,144.90
